"ID","Name","GPA","Year","Department"
"20232001","Amal Hassan","3.2","First","CS"
"20232002","Bilal Mohamed","2.8","Third","AI"
"20232003","Carla Nader","3.9","Fourth","DS"
"20232004","Dina Salem","2.3","Second","IT"
"20232005","Ehab Reda","3.5","Second","IS"
"20232006","Farida Tamer","3.7","First","CS"
"20232007","Gamal Youssef","1.9","Fourth","AI"
"20232008","Hana Mostafa","3.6","Third","DS"
"20232009","Ibrahim Saeed","2.7","Second","IT"
"20232010","Jana Adel","3.0","Third","CS"
"20232011","Karim Fouad","2.5","Second","IS"
"20232012","Lara Ahmed","3.4","Fourth","DS"
"20232013","Mahmoud Salah","2.9","First","AI"
"20232014","Nadia Helal","3.8","Second","CS"
"20232015","Omar Essam","2.0","Third","IT"
"20232016","Pilar Samir","3.3","Second","DS"
"20232017","Qasim Hatem","1.7","Fourth","IS"
"20232018","Rania Khaled","3.1","Second","AI"
"20232019","Samir Mostafa","3.0","First","DS"
"20232020","Tariq Hassan","2.4","Third","CS"
